Rang;n° rue;Nom rue;Code postal;Ville;Date création;Nom société;APE;Catégorie;Nbr employé;Mise à jour;Date finance;Revenu;Profit
1;55;RUE JEAN JAURES;59000;LILLE;1991;ORANGE;6110Z;Télécommunications filaires;93200;2016-05-23T00:00:00;31/12/2015;23603000000;4506000000
2;17;RUE ROGER SALENGRO (HELLEMMES);59260;LILLE;2015;TOTAL MARKETING FRANCE;1920Z;Raffinage du pétrole;1218;2015-09-18T00:00:00;31/12/2015;20164876000;59480000
3;29;BOULEVARD VAUBAN;59800;LILLE;2004;ENGIE;3523Z;Commerce de combustibles gazeux par conduites;23819;2012-06-05T00:00:00;31/12/2015;19891000000;268000000
4;41;BOULEVARD DE LA MOSELLE;59000;LILLE;2002;CSF;4711D;Supermarchés;29000;2014-07-03T00:00:00;31/12/2015;18977153720;112754810
5;12;PLACE SAINT HUBERT;59800;LILLE;2006;SOCIETE AIR FRANCE;5110Z;Transports aériens de passagers;47700;2006-06-08T00:00:00;31/12/2015;15115000000;-13000000
6;401;BOULEVARD DE TURIN;59777;LILLE;2007;ENEDIS;3513Z;Distribution d'électricité;39033;2008-12-07T00:00:00;31/12/2015;13548000000;374000000
7;20;RUE DU BALLON;59800;LILLE;2012;LA POSTE;5310Z;Activ. poste dans le cadre d'une obligation de service universel;231800;2014-01-19T00:00:00;31/12/2015;12031000000;347000000
8;8;PLACE LOUISE DE BETTIGNIES;59800;LILLE;2014;DISTRIBUTION CASINO FRANCE;4711F;Hypermarchés;31000;2015-01-25T00:00:00;31/12/2015;8247000000;
9;34;RUE ANATOLE FRANCE;59000;LILLE;1980;ADECCO FRANCE;7820Z;Activités des agences de travail temporaire;6800;2001-11-07T00:00:00;31/12/2015;4363133354;172830867
10;;ZAMIN 2EME AVENUE;59160;LILLE;2000;METRO CASH & CARRY FRANCE;4690Z;Commerce de gros (commerce interentreprises) non spécialisé;9169;2005-06-09T00:00:00;30/09/2015;4339787085;130076101
11;;RUE DES TANNEURS;59800;LILLE;2004;MONOPRIX EXPLOIT PAR ABREVIATION MPX;4711E;Magasins multi-commerces;14785;2010-06-04T00:00:00;31/12/2015;4109141000;100322000
12;10;RUE SAINT SAUVEUR;59800;LILLE;2004;MANPOWER FRANCE;7820Z;Activités des agences de travail temporaire;2400;2009-02-08T00:00:00;31/12/2015;3499082000;159740000
13;42;RUE CHARLES DE MUYSSAERT;59800;LILLE;2007;GRDF;3522Z;Distribution de combustibles gazeux par conduites;12398;2011-12-04T00:00:00;31/12/2015;3409509000;71034000
14;48;RUE DE DOUAI;59000;LILLE;1989;BP FRANCE;4671Z;Commerce de gros de combustibles et de produits annexes;421;2003-02-20T00:00:00;31/12/2015;3366000000;5000000
15;39;RUE DU FAUBOURG DE ROUBAIX;59800;LILLE;2014;SAMSUNG ELECTRONICS FRANCE;4652Z;Comm. de gros d'éqpts et composants électroniques et de télécomm.;556;2014-10-23T00:00:00;31/12/2015;3020428825;49526174
16;52;RUE DES PONTS DE COMINES;59800;LILLE;1997;L'OREAL;7010Z;Activités des sièges sociaux;82881;2000-01-13T00:00:00;31/12/2015;2967000000;3055000000
17;92;RUE VICTOR HUGO;59260;LILLE;2004;CASTORAMA FRANCE;4752B;Comm. détail de quincaillerie, peintures et verres (mag.> 400 m2);13343;2006-02-08T00:00:00;31/01/2015;2949419720;20368541
18;;RUE DU GRAND BUT LOMME;59160;LILLE;1990;MEUBLES IKEA FRANCE;4759A;Commerce de détail de meubles;9014;2001-07-05T00:00:00;31/08/2015;2455695046;43052831
19;8;RUE DE LA GRANDE CHAUSSEE;59800;LILLE;1900;HERMES SELLIER;1512Z;Fabrication d'articles de voyage, de maroquinerie et de sellerie;2749;2012-03-26T00:00:00;31/12/2015;2226936576;352369337
20;3;RUE DE L EUROPE LOMME;59160;LILLE;1995;POMONA;4631Z;Commerce de gros (commerce interentreprises) de fruits et légumes;6373;2000-05-23T00:00:00;30/09/2015;2216926372;49282582
21;;AVENUE DE MORMAL;59800;LILLE;2013;ENGIE ENERGIE SERVICES;3530Z;Production et distribution de vapeur et d'air conditionné;11245;2013-06-19T00:00:00;31/12/2015;2129827000;415328000
22;5;PONT DE TOURNAI;59000;LILLE;2000;DALKIA;3530Z;Production et distribution de vapeur et d'air conditionné;9789;2001-09-28T00:00:00;31/12/2015;2065566000;45121000
23;;RUE DU CHATEAU D ISENGHIEN;59160;LILLE;2011;DALKIA;3530Z;Production et distribution de vapeur et d'air conditionné;9789;2012-08-06T00:00:00;31/12/2015;2065566000;45121000
24;83;RUE DE LUXEMBOURG;59777;LILLE;2012;ROQUETTE FRERES;1062Z;Fabrication de produits amylacés;3446;2012-04-25T00:00:00;31/12/2015;2057990000;147239440
25;800;AVENUE DE DUNKERQUE LOMME;59160;LILLE;1980;SOCIETE DES PETROLES SHELL;4671Z;Commerce de gros de combustibles et de produits annexes;384;2005-01-10T00:00:00;31/12/2015;1892296713;340911885
26;25;RUE DE BETHUNE;59800;LILLE;2007;MAGASINS GALERIES LAFAYETTE;4719A;Grands magasins;5440;2010-05-06T00:00:00;31/12/2015;1458087000;-35035000
27;236;RUE ROGER SALENGRO (HELLEMMES);59260;LILLE;2006;ERTECO FRANCE;4711D;Supermarchés;6286;2015-01-29T00:00:00;31/12/2015;1443602659;-233226718
28;103;RUE DE CONDE;59000;LILLE;1999;DISTRIBUTION SANITAIRE CHAUFFAGE;4673B;Commerce de gros d'appareils sanitaires et produits de décoration;4600;2010-04-27T00:00:00;31/12/2015;1419696761;-66175394
29;7;PLACE DU GENERAL DE GAULLE;59800;LILLE;2004;SEPHORA;4775Z;Comm. détail de parfumerie & produits de beauté en magasin spéc.;5300;2004-11-05T00:00:00;31/12/2015;1377337363;70174609
30;202;RUE NATIONALE;59800;LILLE;1996;SAUR;3600Z;Captage, traitement et distribution d'eau;5559;2005-01-26T00:00:00;31/12/2015;1373992743;4344594
31;;AVENUE DE LA ROTONDE;59160;LILLE;2003;INGRAM MICRO;4651Z;Comm. de gros d'ordinat., d'éqpts informatiq. périph. & logiciels;400;2004-12-17T00:00:00;31/12/2015;1348593953;573804
32;91;RUE MASSENA;59800;LILLE;1992;PICARD SURGELES;4711A;Commerce de détail de produits surgelés;4617;1993-07-23T00:00:00;31/03/2015;1332002778;95485503
33;39;RUE NATIONALE;59800;LILLE;2009;PRINTEMPS;4719A;Grands magasins;2483;2009-04-21T00:00:00;31/03/2015;1300503314;11174164
34;141;RUE BERTHE MORISOT;59000;LILLE;2015;SOPRA STERIA GROUP;6202A;Conseil en systèmes et logiciels informatiques;12400;2015-08-24T00:00:00;31/12/2015;1289104000;33358000
35;130;RUE DU GRAND BUT LOMME;59160;LILLE;2004;H&M HENNES & MAURITZ;4771Z;Commerce de détail d'habillement en magasin spécialisé;6556;2004-10-29T00:00:00;30/11/2015;1173281375;4158592
36;165;AVENUE DE LA BRETAGNE;59000;LILLE;2009;CAPGEMINI TECHNOLOGY SERVICES;6202A;Conseil en systèmes et logiciels informatiques;9468;2009-06-25T00:00:00;31/12/2015;1095594000;23379000
37;20;RUE SAINT NICOLAS;59800;LILLE;1996;RELAIS FNAC;4741Z;Comm. détail ordinateurs unités périph. & logiciels (magas. spéc);2946;1997-01-07T00:00:00;31/12/2015;1083489171;-8797476
38;;ZAMIN 4EME AVENUE;59160;LILLE;1998;SUPERMARCHES MATCH;4711D;Supermarchés;5400;2002-08-23T00:00:00;31/12/2015;1067864314;-12848903
39;42;RUE DU MOLINEL;59800;LILLE;2005;CRIT;7820Z;Activités des agences de travail temporaire;1573;2014-03-15T00:00:00;31/12/2015;1041573373;40363197
40;11;RUE NATIONALE;59800;LILLE;2013;NC NUMERICABLE;6110Z;Télécommunications filaires;1155;2014-12-14T00:00:00;31/12/2015;1039739584;67655244
41;39;RUE NATIONALE;59800;LILLE;2007;CHRISTIAN DIOR COUTURE;4649Z;Commerce de gros d'autres biens domestiques;1367;2008-04-28T00:00:00;30/06/2015;975263000;37144000
42;35;BOULEVARD DE LA LIBERTE;59800;LILLE;1982;TOTAL MARKETING SERVICES;4671Z;Commerce de gros de combustibles et de produits annexes;2273;1990-05-04T00:00:00;31/12/2015;973342000;1558637000
43;213;BOULEVARD DE TURIN;59777;LILLE;2006;ORACLE FRANCE;5829C;Edition de logiciels applicatifs;1755;2008-10-03T00:00:00;31/05/2015;954370375;33454376
44;170;RUE DE PARIS;59800;LILLE;2000;SYNERGIE;7820Z;Activités des agences de travail temporaire;24818;2001-07-19T00:00:00;31/12/2015;906283000;50392000
45;15;AVENUE DU PRESIDENT KENNEDY;59800;LILLE;2002;SYNERGIE;7820Z;Activités des agences de travail temporaire;24818;2002-10-15T00:00:00;31/12/2015;906283000;50392000
46;;PORT FLUVIAL;59000;LILLE;2014;CHRONOPOST;5229A;Messagerie, fret express;3409;2014-10-02T00:00:00;31/12/2015;903972000;-42166000
47;19;RUE DE LA BOURSE;59800;LILLE;2007;ZARA FRANCE;4771Z;Commerce de détail d'habillement en magasin spécialisé;5404;2014-09-19T00:00:00;31/01/2015;903674619;33395274
48;8;RUE ANATOLE FRANCE;59000;LILLE;2009;CGI FRANCE;6202A;Conseil en systèmes et logiciels informatiques;9480;2009-04-09T00:00:00;30/09/2015;899012103;83010470
49;;AVENUE OSCAR LAMBRET;59000;LILLE;2009;LAGARDERE TRAVEL RETAIL FRANCE;4762Z;Commerce de détail de journaux et papeterie en magasin spécialisé;1142;2009-04-01T00:00:00;31/12/2015;866095681;5396176
50;;PONT DE TOURNAI;59000;LILLE;2015;SNCF;4910Z;Transport ferroviaire interurbain de voyageurs;11700;2015-11-10T00:00:00;31/12/2015;832000000;91000000
51;116;RUE DE L HOPITAL MILITAIRE;59800;LILLE;1995;ACCOR;7010Z;Activités des sièges sociaux;1200;2012-02-11T00:00:00;31/12/2015;825000000;238000000
52;21;RUE MARACCI;59800;LILLE;2009;ELRES;5629B;Autres services de restauration n.c.a.;10960;2009-08-25T00:00:00;30/09/2015;787353373;-17630309
53;26;RUE DE BETHUNE;59800;LILLE;2010;NOCIBE FRANCE DISTRIBUTION;4775Z;Comm. détail de parfumerie & produits de beauté en magasin spéc.;3364;2012-02-12T00:00:00;30/09/2015;708231084;-30314403
54;29;RUE DE LA GRANDE CHAUSSEE;59800;LILLE;1993;SOCIETE DES MAGASINS LOUIS VUITTON - FRANCE;4772B;Commerce de détail de maroquinerie et d'articles de voyage;855;2006-05-30T00:00:00;31/12/2015;682255000;80978000
55;;AVENUE WILLY BRANDT;59777;LILLE;2003;RESEAU CLUBS BOUYGUES TELECOM;4742Z;Comm. détail matériels télécommunication (magasin spécialisé);2200;2016-05-20T00:00:00;31/12/2015;650942000;-17791000
