idclient;idproduit
536;7
499;7
499;5
499;1
38;14
32;6
26;17
27;10
46;15
6;14
41;10
47;10
13;16
45;4
39;4
38;9
1;21
27;10
18;9
44;8
15;13
18;1
47;16
25;7
49;9
15;11
7;4
1;3
3;6
3;12
40;3
30;22
38;20
1;14
10;16
21;17
19;14
36;4
19;5
19;16
25;11
3;10
21;11
33;19
2;1
46;2
8;15
38;1
40;19
36;21
31;22
4;17
38;16
12;9
5;13
19;6
42;1
16;1
35;13
34;14
22;14
9;4
41;3
38;4
24;2
12;4
41;18
23;18
8;21
29;19
38;22
20;14
17;11
9;3
22;8
22;12
20;19
27;18
12;9
41;3
1;2
11;10
24;10
40;12
8;19
32;5
28;8
45;11
7;11
45;4
24;13
1;14
49;18
48;10
11;9
40;12
27;16
25;11
31;2
48;10
12;4
19;17
48;7
7;14
19;21
46;5
2;17
6;22
6;20
26;2
48;14
9;4
8;1
4;14
35;13
27;5
41;20
49;7
45;8
44;15
2;3
40;18
38;4
7;17
34;18
22;6
7;12
6;18
40;8
6;13
28;14
34;11
12;9
38;2
37;17
32;10
3;11
13;21
37;20
4;3
22;10
7;1
37;4
22;4
17;9
45;17
23;15
15;20
34;5
9;22
9;13
29;18
12;20
10;6
21;18
32;5
3;3
6;1
12;11
31;4
27;2
45;21
4;22
42;4
15;6
42;8
19;12
25;13
16;7
31;20
34;11
8;7
5;6
7;9
24;5
40;13
5;13
38;13
25;14
26;2
5;15
29;2
44;7
42;13
46;5
39;11
40;10
32;14
4;16
1;18
34;18
38;8
29;10
13;14
9;8
8;7
2;20
16;13
34;6
36;17
31;3
49;5
24;18
37;10
18;13
39;9
28;13
47;9
25;8
14;10
2;17
12;17
46;14
7;20
5;13
46;2
40;22
39;19
38;12
38;4
13;3
31;22
8;13
23;14
13;10
46;2
16;5
44;5
28;20
14;10
45;3
43;10
43;2
40;13
9;10
34;1
48;2
44;16
46;13
3;1
7;22
23;1
38;20
45;13
28;21
9;7
15;15
32;19
4;17
45;4
31;2
