,id,name,brand,dateUpdated,prices.amountMax,prices.amountMin
0,AVpfEf_hLJeJML431ueH,Naturalizer Danya Women N/S Open Toe Synthetic Silver Sandals,Naturalizer,2018-01-29 04:38:43+00:00,55.99,55.99
1,AVpi74XfLJeJML43qZAc,MUK LUKS Womens Jane Suede Moccasin,MUK LUKS,2018-01-03 05:21:54+00:00,47.0,35.25
2,AVpi74XfLJeJML43qZAc,MUK LUKS Womens Jane Suede Moccasin,MUK LUKS,2018-01-03 05:21:54+00:00,35.25,35.25
3,AVpjXyCc1cnluZ0-V-Gj,MUK LUKS Womens Dawn Suede Scuff Slipper,MUK LUKS,2018-01-04 11:52:35+00:00,24.75,24.75
4,AVphGKLPilAPnD_x1Nrm,MUK LUKS Womens Dawn Suede Scuff Slipper,MUK LUKS,2018-01-18 03:55:18+00:00,33.0,30.39
5,AVpg91ziilAPnD_xziOo,Women's MUK LUKS® Soft Ones Sock Money Slippers,Soft Ones,2018-10-23 21:26:11+00:00,14.0,7.9
6,AVpjGKXyLJeJML43r8BH,Women's MUK LUKS® Faux Suede Clogs,MUK LUKS,2018-10-15 15:50:13+00:00,24.0,12.79
7,AVpjGKXyLJeJML43r8BH,Women's MUK LUKS® Faux Suede Clogs,MUK LUKS,2018-10-15 15:50:13+00:00,24.0,12.79
8,AVpfLXyhilAPnD_xWmNc,MUK LUKS Women's Malena Boot,MUK LUKS,2018-01-03 05:22:07+00:00,59.0,39.88
9,AVpfeWdJ1cnluZ0-lXYU,MUK LUKS Women's Malena Boot,MUK LUKS,2018-01-30 06:18:34+00:00,59.0,47.99
10,AVpfeWdJ1cnluZ0-lXYU,MUK LUKS Women's Malena Boot,MUK LUKS,2018-01-30 06:18:34+00:00,59.0,36.99
11,AVpf38PKLJeJML43FRwO,MUK LUKS Women's Hayden Boot,MUK LUKS,2018-01-23 04:13:40+00:00,95.0,62.8
12,AVph9abqilAPnD_x_Nrp,MUK LUKS Women's Demi Boot,MUK LUKS,2018-01-04 11:52:59+00:00,68.0,41.27
13,AVph9abqilAPnD_x_Nrp,MUK LUKS Women's Demi Boot,MUK LUKS,2018-01-04 11:52:59+00:00,68.0,44.88
14,AVpgNGD6ilAPnD_xpAke,MUK LUKS Women's Nikki Boot,MUK LUKS,2018-01-04 08:03:19+00:00,69.0,44.88
15,AVpgBzl41cnluZ0-vSQf,MUK LUKS Women's Elle Wedge Sandals,MUK LUKS,2018-01-28 10:16:47+00:00,50.0,28.91
16,AVpgBzl41cnluZ0-vSQf,MUK LUKS Women's Elle Wedge Sandals,MUK LUKS,2018-01-28 10:16:47+00:00,50.0,29.91
17,AVpgBzl41cnluZ0-vSQf,MUK LUKS Women's Elle Wedge Sandals,MUK LUKS,2018-01-28 10:16:47+00:00,50.0,22.53
18,AVpivUm2ilAPnD_xHGfN,MUK LUKS Women's Patti Boots,MUK LUKS,2018-01-28 10:52:04+00:00,57.0,57.0
19,AVpivUm2ilAPnD_xHGfN,MUK LUKS Women's Patti Boots,MUK LUKS,2018-01-28 10:52:04+00:00,59.0,42.88
20,AV_NPBzfHh53nbDRAFPa,MUK LUKS Chrystal Women's Sandals,muk luks,2018-01-09 21:18:52+00:00,36.0,25.49
21,AVpfGWT3ilAPnD_xU7MQ,Sloggers Women's Outfitters Premium Garden Clog,Sloggers,2018-06-05 22:29:16+00:00,32.44,32.44
22,AVphXIhELJeJML43Z-74,Dr. Scholl's Women's Freestyle,Dr. Scholl's,2018-01-04 11:52:59+00:00,32.98,32.98
23,AVphX0ZbLJeJML43aHNG,Genuine Dickies Womens' Real Suede Clog,Genuine Dickies,2018-01-04 08:02:27+00:00,19.97,13.88
24,AVpjDTKT1cnluZ0-TF44,Mo Mo Women's Cami Studded Thong Sandal,Mo Mo,2018-01-04 08:03:26+00:00,24.0,13.88
25,AVphf6M51cnluZ0-DNIG,MOMO Women's Low Heel Lace Up Bootie,Mo Mo,2018-01-03 05:21:54+00:00,24.0,24.0
26,AVpfk-Q81cnluZ0-nUsT,Mo Mo Women's Outlander Heeled Hiker Boot,Mo Mo,2018-01-03 05:21:54+00:00,36.0,28.4
27,AV-ncxniKZqtpbFMS0GX,Skechers Women's Skech-Air Lingle Black Memory Foam Slip Resistant Sneaker Shoes,SKECHERS,2018-04-21 12:44:31+00:00,85.0,85.0
28,AV-ncxniKZqtpbFMS0GX,Skechers Women's Skech-Air Lingle Black Memory Foam Slip Resistant Sneaker Shoes,SKECHERS,2018-04-21 12:44:31+00:00,85.0,85.0
29,AV14CA98vKc47QAVnx6N,76580 W Wide Width Black Skechers Shoe New Women Work Memory Foam Slip Resistant 76580EWBLK,SKECHERS,2018-04-21 12:44:03+00:00,75.0,75.0
30,AV-KM264uC1rwyj_gSfJ,Skechers 38562BLK Women's RUMBLERS - HOTSHOT Sandal Shoes,SKECHERS,2018-04-21 12:44:41+00:00,49.99,44.99
31,AV-KM264uC1rwyj_gSfJ,Skechers 38562BLK Women's RUMBLERS - HOTSHOT Sandal Shoes,SKECHERS,2018-04-21 12:44:41+00:00,49.99,49.99
32,AV-KM264uC1rwyj_gSfJ,Skechers 38562BLK Women's RUMBLERS - HOTSHOT Sandal Shoes,SKECHERS,2018-04-21 12:44:41+00:00,49.99,49.99
33,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
34,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
35,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
36,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
37,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
38,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
39,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
40,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
41,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
42,AV_EeG8jKZqtpbFMTSuy,"Women's Skechers, Relaxed Fit Bikers Londoner Ankle Boots",SKECHERS,2018-04-21 12:44:03+00:00,74.99,74.99
43,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,54.99
44,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,48.74
45,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,59.99
46,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,54.99
47,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,64.99
48,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,49.99
49,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,54.99
50,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,64.99
51,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,54.99
52,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,49.99
53,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,54.99
54,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,48.74
55,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,49.99
56,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,49.99
57,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,59.99
58,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,49.99
59,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,49.99
60,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,48.74
61,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,48.74
62,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,64.99
63,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,51.99
64,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,48.74
65,AV2cVsE7vKc47QAVpJKS,Skechers Women's Flex Appeal 2.0 - Insights - Wide Casual Shoe,SKECHERS,2018-04-21 12:43:25+00:00,64.99,59.99
